MovieID,Title,Genres,bert_text
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Movie title: Shanghai Triad (Yao a yao yao dao waipo qiao) (1995). Genres: Drama
31,Dangerous Minds (1995),Drama,Movie title: Dangerous Minds (1995). Genres: Drama
32,Twelve Monkeys (1995),Drama|Sci-Fi,Movie title: Twelve Monkeys (1995). Genres: Drama|Sci-Fi
33,Wings of Courage (1995),Adventure|Romance,Movie title: Wings of Courage (1995). Genres: Adventure|Romance
34,Babe (1995),Children's|Comedy|Drama,Movie title: Babe (1995). Genres: Children's|Comedy|Drama
35,Carrington (1995),Drama|Romance,Movie title: Carrington (1995). Genres: Drama|Romance
36,Dead Man Walking (1995),Drama,Movie title: Dead Man Walking (1995). Genres: Drama
37,Across the Sea of Time (1995),Documentary,Movie title: Across the Sea of Time (1995). Genres: Documentary
38,It Takes Two (1995),Comedy,Movie title: It Takes Two (1995). Genres: Comedy
39,Clueless (1995),Comedy|Romance,Movie title: Clueless (1995). Genres: Comedy|Romance
40,"Cry, the Beloved Country (1995)",Drama,"Movie title: Cry, the Beloved Country (1995). Genres: Drama"
41,Richard III (1995),Drama|War,Movie title: Richard III (1995). Genres: Drama|War
42,Dead Presidents (1995),Action|Crime|Drama,Movie title: Dead Presidents (1995). Genres: Action|Crime|Drama
43,Restoration (1995),Drama,Movie title: Restoration (1995). Genres: Drama
44,Mortal Kombat (1995),Action|Adventure,Movie title: Mortal Kombat (1995). Genres: Action|Adventure
45,To Die For (1995),Comedy|Drama,Movie title: To Die For (1995). Genres: Comedy|Drama
46,How to Make an American Quilt (1995),Drama|Romance,Movie title: How to Make an American Quilt (1995). Genres: Drama|Romance
47,Seven (Se7en) (1995),Crime|Thriller,Movie title: Seven (Se7en) (1995). Genres: Crime|Thriller
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Movie title: Pocahontas (1995). Genres: Animation|Children's|Musical|Romance
49,When Night Is Falling (1995),Drama|Romance,Movie title: When Night Is Falling (1995). Genres: Drama|Romance
50,"Usual Suspects, The (1995)",Crime|Thriller,"Movie title: Usual Suspects, The (1995). Genres: Crime|Thriller"
51,Guardian Angel (1994),Action|Drama|Thriller,Movie title: Guardian Angel (1994). Genres: Action|Drama|Thriller
52,Mighty Aphrodite (1995),Comedy,Movie title: Mighty Aphrodite (1995). Genres: Comedy
53,Lamerica (1994),Drama,Movie title: Lamerica (1994). Genres: Drama
54,"Big Green, The (1995)",Children's|Comedy,"Movie title: Big Green, The (1995). Genres: Children's|Comedy"
55,Georgia (1995),Drama,Movie title: Georgia (1995). Genres: Drama
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Movie title: Kids of the Round Table (1995). Genres: Adventure|Children's|Fantasy
57,Home for the Holidays (1995),Drama,Movie title: Home for the Holidays (1995). Genres: Drama
58,"Postino, Il (The Postman) (1994)",Drama|Romance,"Movie title: Postino, Il (The Postman) (1994). Genres: Drama|Romance"
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,"Movie title: Confessional, The (Le Confessionnal) (1995). Genres: Drama|Mystery"
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,"Movie title: Indian in the Cupboard, The (1995). Genres: Adventure|Children's|Fantasy"
61,Eye for an Eye (1996),Drama|Thriller,Movie title: Eye for an Eye (1996). Genres: Drama|Thriller
62,Mr. Holland's Opus (1995),Drama,Movie title: Mr. Holland's Opus (1995). Genres: Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Movie title: Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996). Genres: Comedy
64,Two if by Sea (1996),Comedy|Romance,Movie title: Two if by Sea (1996). Genres: Comedy|Romance
65,Bio-Dome (1996),Comedy,Movie title: Bio-Dome (1996). Genres: Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Movie title: Lawnmower Man 2: Beyond Cyberspace (1996). Genres: Sci-Fi|Thriller
67,Two Bits (1995),Drama,Movie title: Two Bits (1995). Genres: Drama
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Movie title: French Twist (Gazon maudit) (1995). Genres: Comedy|Romance
69,Friday (1995),Comedy,Movie title: Friday (1995). Genres: Comedy
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,Movie title: From Dusk Till Dawn (1996). Genres: Action|Comedy|Crime|Horror|Thriller
71,Fair Game (1995),Action,Movie title: Fair Game (1995). Genres: Action
72,Kicking and Screaming (1995),Comedy|Drama,Movie title: Kicking and Screaming (1995). Genres: Comedy|Drama
73,"Misérables, Les (1995)",Drama|Musical,"Movie title: Misérables, Les (1995). Genres: Drama|Musical"
74,Bed of Roses (1996),Drama|Romance,Movie title: Bed of Roses (1996). Genres: Drama|Romance
75,Big Bully (1996),Comedy|Drama,Movie title: Big Bully (1996). Genres: Comedy|Drama
76,Screamers (1995),Sci-Fi|Thriller,Movie title: Screamers (1995). Genres: Sci-Fi|Thriller
77,Nico Icon (1995),Documentary,Movie title: Nico Icon (1995). Genres: Documentary
78,"Crossing Guard, The (1995)",Drama,"Movie title: Crossing Guard, The (1995). Genres: Drama"
79,"Juror, The (1996)",Drama|Thriller,"Movie title: Juror, The (1996). Genres: Drama|Thriller"
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,"Movie title: White Balloon, The (Badkonake Sefid ) (1995). Genres: Drama"
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Movie title: Things to Do in Denver when You're Dead (1995). Genres: Crime|Drama|Romance
82,Antonia's Line (Antonia) (1995),Drama,Movie title: Antonia's Line (Antonia) (1995). Genres: Drama
83,Once Upon a Time... When We Were Colored (1995),Drama,Movie title: Once Upon a Time... When We Were Colored (1995). Genres: Drama
84,Last Summer in the Hamptons (1995),Comedy|Drama,Movie title: Last Summer in the Hamptons (1995). Genres: Comedy|Drama
85,Angels and Insects (1995),Drama|Romance,Movie title: Angels and Insects (1995). Genres: Drama|Romance
86,White Squall (1996),Adventure|Drama,Movie title: White Squall (1996). Genres: Adventure|Drama
87,Dunston Checks In (1996),Children's|Comedy,Movie title: Dunston Checks In (1996). Genres: Children's|Comedy
88,Black Sheep (1996),Comedy,Movie title: Black Sheep (1996). Genres: Comedy
89,Nick of Time (1995),Action|Thriller,Movie title: Nick of Time (1995). Genres: Action|Thriller
90,"Journey of August King, The (1995)",Drama,"Movie title: Journey of August King, The (1995). Genres: Drama"
92,Mary Reilly (1996),Drama|Thriller,Movie title: Mary Reilly (1996). Genres: Drama|Thriller
93,Vampire in Brooklyn (1995),Comedy|Romance,Movie title: Vampire in Brooklyn (1995). Genres: Comedy|Romance
94,Beautiful Girls (1996),Drama,Movie title: Beautiful Girls (1996). Genres: Drama
95,Broken Arrow (1996),Action|Thriller,Movie title: Broken Arrow (1996). Genres: Action|Thriller
96,In the Bleak Midwinter (1995),Comedy,Movie title: In the Bleak Midwinter (1995). Genres: Comedy
97,"Hate (Haine, La) (1995)",Drama,"Movie title: Hate (Haine, La) (1995). Genres: Drama"
98,Shopping (1994),Action|Thriller,Movie title: Shopping (1994). Genres: Action|Thriller
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Movie title: Heidi Fleiss: Hollywood Madam (1995). Genres: Documentary
100,City Hall (1996),Drama|Thriller,Movie title: City Hall (1996). Genres: Drama|Thriller
101,Bottle Rocket (1996),Comedy,Movie title: Bottle Rocket (1996). Genres: Comedy
102,Mr. Wrong (1996),Comedy,Movie title: Mr. Wrong (1996). Genres: Comedy
103,Unforgettable (1996),Thriller,Movie title: Unforgettable (1996). Genres: Thriller
104,Happy Gilmore (1996),Comedy,Movie title: Happy Gilmore (1996). Genres: Comedy
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Movie title: Bridges of Madison County, The (1995). Genres: Drama|Romance"
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Movie title: Nobody Loves Me (Keiner liebt mich) (1994). Genres: Comedy|Drama
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Movie title: Muppet Treasure Island (1996). Genres: Adventure|Children's|Comedy|Musical
108,Catwalk (1995),Documentary,Movie title: Catwalk (1995). Genres: Documentary
109,Headless Body in Topless Bar (1995),Comedy,Movie title: Headless Body in Topless Bar (1995). Genres: Comedy
110,Braveheart (1995),Action|Drama|War,Movie title: Braveheart (1995). Genres: Action|Drama|War
111,Taxi Driver (1976),Drama|Thriller,Movie title: Taxi Driver (1976). Genres: Drama|Thriller
112,Rumble in the Bronx (1995),Action|Adventure|Crime,Movie title: Rumble in the Bronx (1995). Genres: Action|Adventure|Crime
113,Before and After (1996),Drama|Mystery,Movie title: Before and After (1996). Genres: Drama|Mystery
114,Margaret's Museum (1995),Drama,Movie title: Margaret's Museum (1995). Genres: Drama
115,Happiness Is in the Field (1995),Comedy,Movie title: Happiness Is in the Field (1995). Genres: Comedy
116,Anne Frank Remembered (1995),Documentary,Movie title: Anne Frank Remembered (1995). Genres: Documentary
117,"Young Poisoner's Handbook, The (1995)",Crime,"Movie title: Young Poisoner's Handbook, The (1995). Genres: Crime"
118,If Lucy Fell (1996),Comedy|Romance,Movie title: If Lucy Fell (1996). Genres: Comedy|Romance
119,"Steal Big, Steal Little (1995)",Comedy,"Movie title: Steal Big, Steal Little (1995). Genres: Comedy"
120,Race the Sun (1996),Drama,Movie title: Race the Sun (1996). Genres: Drama
121,"Boys of St. Vincent, The (1993)",Drama,"Movie title: Boys of St. Vincent, The (1993). Genres: Drama"
122,Boomerang (1992),Comedy|Romance,Movie title: Boomerang (1992). Genres: Comedy|Romance
123,Chungking Express (1994),Drama|Mystery|Romance,Movie title: Chungking Express (1994). Genres: Drama|Mystery|Romance
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,"Movie title: Star Maker, The (Uomo delle stelle, L') (1995). Genres: Drama"
125,Flirting With Disaster (1996),Comedy,Movie title: Flirting With Disaster (1996). Genres: Comedy
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,"Movie title: NeverEnding Story III, The (1994). Genres: Adventure|Children's|Fantasy"
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,"Movie title: Silence of the Palace, The (Saimt el Qusur) (1994). Genres: Drama"
128,Jupiter's Wife (1994),Documentary,Movie title: Jupiter's Wife (1994). Genres: Documentary
129,Pie in the Sky (1995),Comedy|Romance,Movie title: Pie in the Sky (1995). Genres: Comedy|Romance
130,Angela (1995),Drama,Movie title: Angela (1995). Genres: Drama
131,Frankie Starlight (1995),Drama|Romance,Movie title: Frankie Starlight (1995). Genres: Drama|Romance
132,Jade (1995),Thriller,Movie title: Jade (1995). Genres: Thriller
133,Nueba Yol (1995),Comedy|Drama,Movie title: Nueba Yol (1995). Genres: Comedy|Drama
134,Sonic Outlaws (1995),Documentary,Movie title: Sonic Outlaws (1995). Genres: Documentary
135,Down Periscope (1996),Comedy,Movie title: Down Periscope (1996). Genres: Comedy
136,From the Journals of Jean Seberg (1995),Documentary,Movie title: From the Journals of Jean Seberg (1995). Genres: Documentary
137,Man of the Year (1995),Documentary,Movie title: Man of the Year (1995). Genres: Documentary
138,"Neon Bible, The (1995)",Drama,"Movie title: Neon Bible, The (1995). Genres: Drama"
139,Target (1995),Action|Drama,Movie title: Target (1995). Genres: Action|Drama
140,Up Close and Personal (1996),Drama|Romance,Movie title: Up Close and Personal (1996). Genres: Drama|Romance
141,"Birdcage, The (1996)",Comedy,"Movie title: Birdcage, The (1996). Genres: Comedy"
142,Shadows (Cienie) (1988),Drama,Movie title: Shadows (Cienie) (1988). Genres: Drama
143,Gospa (1995),Drama,Movie title: Gospa (1995). Genres: Drama
144,"Brothers McMullen, The (1995)",Comedy,"Movie title: Brothers McMullen, The (1995). Genres: Comedy"
145,Bad Boys (1995),Action,Movie title: Bad Boys (1995). Genres: Action
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,"Movie title: Amazing Panda Adventure, The (1995). Genres: Adventure|Children's"
147,"Basketball Diaries, The (1995)",Drama,"Movie title: Basketball Diaries, The (1995). Genres: Drama"
148,"Awfully Big Adventure, An (1995)",Drama,"Movie title: Awfully Big Adventure, An (1995). Genres: Drama"
149,Amateur (1994),Crime|Drama|Thriller,Movie title: Amateur (1994). Genres: Crime|Drama|Thriller
150,Apollo 13 (1995),Drama,Movie title: Apollo 13 (1995). Genres: Drama
151,Rob Roy (1995),Drama|Romance|War,Movie title: Rob Roy (1995). Genres: Drama|Romance|War
152,"Addiction, The (1995)",Horror,"Movie title: Addiction, The (1995). Genres: Horror"
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Movie title: Batman Forever (1995). Genres: Action|Adventure|Comedy|Crime
154,Belle de jour (1967),Drama,Movie title: Belle de jour (1967). Genres: Drama
155,Beyond Rangoon (1995),Drama|War,Movie title: Beyond Rangoon (1995). Genres: Drama|War
156,Blue in the Face (1995),Comedy,Movie title: Blue in the Face (1995). Genres: Comedy
157,Canadian Bacon (1994),Comedy|War,Movie title: Canadian Bacon (1994). Genres: Comedy|War
158,Casper (1995),Adventure|Children's,Movie title: Casper (1995). Genres: Adventure|Children's
159,Clockers (1995),Drama,Movie title: Clockers (1995). Genres: Drama
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Movie title: Congo (1995). Genres: Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide (1995),Drama|Thriller|War,Movie title: Crimson Tide (1995). Genres: Drama|Thriller|War
162,Crumb (1994),Documentary,Movie title: Crumb (1994). Genres: Documentary
163,Desperado (1995),Action|Romance|Thriller,Movie title: Desperado (1995). Genres: Action|Romance|Thriller
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Movie title: Devil in a Blue Dress (1995). Genres: Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance (1995),Action|Thriller,Movie title: Die Hard: With a Vengeance (1995). Genres: Action|Thriller
166,"Doom Generation, The (1995)",Comedy|Drama,"Movie title: Doom Generation, The (1995). Genres: Comedy|Drama"
167,Feast of July (1995),Drama,Movie title: Feast of July (1995). Genres: Drama
168,First Knight (1995),Action|Adventure|Drama|Romance,Movie title: First Knight (1995). Genres: Action|Adventure|Drama|Romance
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Movie title: Free Willy 2: The Adventure Home (1995). Genres: Adventure|Children's|Drama
170,Hackers (1995),Action|Crime|Thriller,Movie title: Hackers (1995). Genres: Action|Crime|Thriller
171,Jeffrey (1995),Comedy,Movie title: Jeffrey (1995). Genres: Comedy
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Movie title: Johnny Mnemonic (1995). Genres: Action|Sci-Fi|Thriller
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Movie title: Judge Dredd (1995). Genres: Action|Adventure|Sci-Fi
174,Jury Duty (1995),Comedy,Movie title: Jury Duty (1995). Genres: Comedy
175,Kids (1995),Drama,Movie title: Kids (1995). Genres: Drama
176,Living in Oblivion (1995),Comedy,Movie title: Living in Oblivion (1995). Genres: Comedy
177,Lord of Illusions (1995),Horror,Movie title: Lord of Illusions (1995). Genres: Horror
178,Love & Human Remains (1993),Comedy,Movie title: Love & Human Remains (1993). Genres: Comedy
179,Mad Love (1995),Drama|Romance,Movie title: Mad Love (1995). Genres: Drama|Romance
180,Mallrats (1995),Comedy,Movie title: Mallrats (1995). Genres: Comedy
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,Movie title: Mighty Morphin Power Rangers: The Movie (1995). Genres: Action|Children's
182,Moonlight and Valentino (1995),Drama|Romance,Movie title: Moonlight and Valentino (1995). Genres: Drama|Romance
183,Mute Witness (1994),Thriller,Movie title: Mute Witness (1994). Genres: Thriller
184,Nadja (1994),Drama,Movie title: Nadja (1994). Genres: Drama
185,"Net, The (1995)",Sci-Fi|Thriller,"Movie title: Net, The (1995). Genres: Sci-Fi|Thriller"
186,Nine Months (1995),Comedy,Movie title: Nine Months (1995). Genres: Comedy
187,Party Girl (1995),Comedy,Movie title: Party Girl (1995). Genres: Comedy
188,"Prophecy, The (1995)",Horror,"Movie title: Prophecy, The (1995). Genres: Horror"
189,Reckless (1995),Comedy,Movie title: Reckless (1995). Genres: Comedy
190,Safe (1995),Thriller,Movie title: Safe (1995). Genres: Thriller
191,"Scarlet Letter, The (1995)",Drama,"Movie title: Scarlet Letter, The (1995). Genres: Drama"
192,"Show, The (1995)",Documentary,"Movie title: Show, The (1995). Genres: Documentary"
193,Showgirls (1995),Drama,Movie title: Showgirls (1995). Genres: Drama
194,Smoke (1995),Drama,Movie title: Smoke (1995). Genres: Drama
195,Something to Talk About (1995),Comedy|Drama|Romance,Movie title: Something to Talk About (1995). Genres: Comedy|Drama|Romance
196,Species (1995),Horror|Sci-Fi,Movie title: Species (1995). Genres: Horror|Sci-Fi
197,"Stars Fell on Henrietta, The (1995)",Drama,"Movie title: Stars Fell on Henrietta, The (1995). Genres: Drama"
198,Strange Days (1995),Action|Crime|Sci-Fi,Movie title: Strange Days (1995). Genres: Action|Crime|Sci-Fi
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,"Movie title: Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964). Genres: Drama|Musical"
200,"Tie That Binds, The (1995)",Thriller,"Movie title: Tie That Binds, The (1995). Genres: Thriller"
201,Three Wishes (1995),Drama,Movie title: Three Wishes (1995). Genres: Drama
202,Total Eclipse (1995),Drama|Romance,Movie title: Total Eclipse (1995). Genres: Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"Movie title: To Wong Foo, Thanks for Everything! Julie Newmar (1995). Genres: Comedy"
204,Under Siege 2: Dark Territory (1995),Action,Movie title: Under Siege 2: Dark Territory (1995). Genres: Action
205,Unstrung Heroes (1995),Comedy|Drama,Movie title: Unstrung Heroes (1995). Genres: Comedy|Drama
206,Unzipped (1995),Documentary,Movie title: Unzipped (1995). Genres: Documentary
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Movie title: Walk in the Clouds, A (1995). Genres: Drama|Romance"
208,Waterworld (1995),Action|Adventure,Movie title: Waterworld (1995). Genres: Action|Adventure
209,White Man's Burden (1995),Drama,Movie title: White Man's Burden (1995). Genres: Drama
210,Wild Bill (1995),Western,Movie title: Wild Bill (1995). Genres: Western
211,"Browning Version, The (1994)",Drama,"Movie title: Browning Version, The (1994). Genres: Drama"
212,Bushwhacked (1995),Comedy,Movie title: Bushwhacked (1995). Genres: Comedy
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,Movie title: Burnt By the Sun (Utomlyonnye solntsem) (1994). Genres: Drama
214,Before the Rain (Pred dozhdot) (1994),Drama,Movie title: Before the Rain (Pred dozhdot) (1994). Genres: Drama
215,Before Sunrise (1995),Drama|Romance,Movie title: Before Sunrise (1995). Genres: Drama|Romance
216,Billy Madison (1995),Comedy,Movie title: Billy Madison (1995). Genres: Comedy
217,"Babysitter, The (1995)",Drama|Thriller,"Movie title: Babysitter, The (1995). Genres: Drama|Thriller"
218,Boys on the Side (1995),Comedy|Drama,Movie title: Boys on the Side (1995). Genres: Comedy|Drama
219,"Cure, The (1995)",Drama,"Movie title: Cure, The (1995). Genres: Drama"
220,Castle Freak (1995),Horror,Movie title: Castle Freak (1995). Genres: Horror
222,Circle of Friends (1995),Drama|Romance,Movie title: Circle of Friends (1995). Genres: Drama|Romance
223,Clerks (1994),Comedy,Movie title: Clerks (1994). Genres: Comedy
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Movie title: Don Juan DeMarco (1995). Genres: Comedy|Drama|Romance
225,Disclosure (1994),Drama|Thriller,Movie title: Disclosure (1994). Genres: Drama|Thriller
226,Dream Man (1995),Thriller,Movie title: Dream Man (1995). Genres: Thriller
227,Drop Zone (1994),Action,Movie title: Drop Zone (1994). Genres: Action
228,Destiny Turns on the Radio (1995),Comedy,Movie title: Destiny Turns on the Radio (1995). Genres: Comedy
229,Death and the Maiden (1994),Drama|Thriller,Movie title: Death and the Maiden (1994). Genres: Drama|Thriller
230,Dolores Claiborne (1994),Drama|Thriller,Movie title: Dolores Claiborne (1994). Genres: Drama|Thriller
231,Dumb & Dumber (1994),Comedy,Movie title: Dumb & Dumber (1994). Genres: Comedy
232,Eat Drink Man Woman (1994),Comedy|Drama,Movie title: Eat Drink Man Woman (1994). Genres: Comedy|Drama
233,Exotica (1994),Drama,Movie title: Exotica (1994). Genres: Drama
234,Exit to Eden (1994),Comedy,Movie title: Exit to Eden (1994). Genres: Comedy
235,Ed Wood (1994),Comedy|Drama,Movie title: Ed Wood (1994). Genres: Comedy|Drama
236,French Kiss (1995),Comedy|Romance,Movie title: French Kiss (1995). Genres: Comedy|Romance
237,Forget Paris (1995),Comedy|Romance,Movie title: Forget Paris (1995). Genres: Comedy|Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,Movie title: Far From Home: The Adventures of Yellow Dog (1995). Genres: Adventure|Children's
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,"Movie title: Goofy Movie, A (1995). Genres: Animation|Children's|Comedy|Romance"
240,Hideaway (1995),Thriller,Movie title: Hideaway (1995). Genres: Thriller
241,Fluke (1995),Children's|Drama,Movie title: Fluke (1995). Genres: Children's|Drama
242,Farinelli: il castrato (1994),Drama|Musical,Movie title: Farinelli: il castrato (1994). Genres: Drama|Musical
243,Gordy (1995),Comedy,Movie title: Gordy (1995). Genres: Comedy
244,Gumby: The Movie (1995),Animation|Children's,Movie title: Gumby: The Movie (1995). Genres: Animation|Children's
245,"Glass Shield, The (1994)",Crime|Drama,"Movie title: Glass Shield, The (1994). Genres: Crime|Drama"
246,Hoop Dreams (1994),Documentary,Movie title: Hoop Dreams (1994). Genres: Documentary
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,Movie title: Heavenly Creatures (1994). Genres: Drama|Fantasy|Romance|Thriller
248,Houseguest (1994),Comedy,Movie title: Houseguest (1994). Genres: Comedy
249,Immortal Beloved (1994),Drama|Romance,Movie title: Immortal Beloved (1994). Genres: Drama|Romance
250,Heavyweights (1994),Children's|Comedy,Movie title: Heavyweights (1994). Genres: Children's|Comedy
251,"Hunted, The (1995)",Action,"Movie title: Hunted, The (1995). Genres: Action"
252,I.Q. (1994),Comedy|Romance,Movie title: I.Q. (1994). Genres: Comedy|Romance
253,Interview with the Vampire (1994),Drama|Horror,Movie title: Interview with the Vampire (1994). Genres: Drama|Horror
254,Jefferson in Paris (1995),Drama,Movie title: Jefferson in Paris (1995). Genres: Drama
255,"Jerky Boys, The (1994)",Comedy,"Movie title: Jerky Boys, The (1994). Genres: Comedy"
256,Junior (1994),Comedy|Sci-Fi,Movie title: Junior (1994). Genres: Comedy|Sci-Fi
257,Just Cause (1995),Mystery|Thriller,Movie title: Just Cause (1995). Genres: Mystery|Thriller
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,"Movie title: Kid in King Arthur's Court, A (1995). Genres: Adventure|Children's|Comedy|Fantasy|Romance"
259,Kiss of Death (1995),Crime|Drama|Thriller,Movie title: Kiss of Death (1995). Genres: Crime|Drama|Thriller
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Fantasy|Sci-Fi,Movie title: Star Wars: Episode IV - A New Hope (1977). Genres: Action|Adventure|Fantasy|Sci-Fi
261,Little Women (1994),Drama,Movie title: Little Women (1994). Genres: Drama
262,"Little Princess, A (1995)",Children's|Drama,"Movie title: Little Princess, A (1995). Genres: Children's|Drama"
263,Ladybird Ladybird (1994),Drama,Movie title: Ladybird Ladybird (1994). Genres: Drama
264,"Enfer, L' (1994)",Drama,"Movie title: Enfer, L' (1994). Genres: Drama"
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance,Movie title: Like Water for Chocolate (Como agua para chocolate) (1992). Genres: Drama|Romance
266,Legends of the Fall (1994),Drama|Romance|War|Western,Movie title: Legends of the Fall (1994). Genres: Drama|Romance|War|Western
267,Major Payne (1994),Comedy,Movie title: Major Payne (1994). Genres: Comedy
268,Little Odessa (1994),Drama,Movie title: Little Odessa (1994). Genres: Drama
269,My Crazy Life (Mi vida loca) (1993),Drama,Movie title: My Crazy Life (Mi vida loca) (1993). Genres: Drama
270,Love Affair (1994),Drama|Romance,Movie title: Love Affair (1994). Genres: Drama|Romance
271,Losing Isaiah (1995),Drama,Movie title: Losing Isaiah (1995). Genres: Drama
272,"Madness of King George, The (1994)",Drama,"Movie title: Madness of King George, The (1994). Genres: Drama"
273,Mary Shelley's Frankenstein (1994),Drama|Horror,Movie title: Mary Shelley's Frankenstein (1994). Genres: Drama|Horror
274,Man of the House (1995),Comedy,Movie title: Man of the House (1995). Genres: Comedy
275,Mixed Nuts (1994),Comedy,Movie title: Mixed Nuts (1994). Genres: Comedy
